Starting Sleep Jobs
Thread Num, Sleep Duration (usec), Execution Time, Theoritical Time
Num Threads: 240, Num Jobs: 240, Job Type: 1, Sleep Duration: 10 micro seconds
Thread Num : 139, Sleep Duration (usec): 10, Execution Time: 116, Theoritical Time: 10
Thread Num : 138, Sleep Duration (usec): 10, Execution Time: 168, Theoritical Time: 10
Thread Num : 30, Sleep Duration (usec): 10, Execution Time: 223, Theoritical Time: 10
Thread Num : 135, Sleep Duration (usec): 10, Execution Time: 333, Theoritical Time: 10
Thread Num : 75, Sleep Duration (usec): 10, Execution Time: 344, Theoritical Time: 10
Thread Num : 91, Sleep Duration (usec): 10, Execution Time: 451, Theoritical Time: 10
Thread Num : 150, Sleep Duration (usec): 10, Execution Time: 451, Theoritical Time: 10
Thread Num : 45, Sleep Duration (usec): 10, Execution Time: 443, Theoritical Time: 10
Thread Num : 210, Sleep Duration (usec): 10, Execution Time: 454, Theoritical Time: 10
Thread Num : 180, Sleep Duration (usec): 10, Execution Time: 440, Theoritical Time: 10
Thread Num : 2, Sleep Duration (usec): 10, Execution Time: 443, Theoritical Time: 10
Thread Num : 0, Sleep Duration (usec): 10, Execution Time: 452, Theoritical Time: 10
Thread Num : 90, Sleep Duration (usec): 10, Execution Time: 444, Theoritical Time: 10
Thread Num : 2, Sleep Duration (usec): 10, Execution Time: 115, Theoritical Time: 10
Thread Num : 195, Sleep Duration (usec): 10, Execution Time: 458, Theoritical Time: 10
Thread Num : 0, Sleep Duration (usec): 10, Execution Time: 115, Theoritical Time: 10
Thread Num : 225, Sleep Duration (usec): 10, Execution Time: 461, Theoritical Time: 10
Thread Num : 120, Sleep Duration (usec): 10, Execution Time: 431, Theoritical Time: 10
Thread Num : 60, Sleep Duration (usec): 10, Execution Time: 407, Theoritical Time: 10
Thread Num : 15, Sleep Duration (usec): 10, Execution Time: 377, Theoritical Time: 10
Thread Num : 165, Sleep Duration (usec): 10, Execution Time: 126, Theoritical Time: 10
Thread Num : 207, Sleep Duration (usec): 10, Execution Time: 218, Theoritical Time: 10
Thread Num : 140, Sleep Duration (usec): 10, Execution Time: 245, Theoritical Time: 10
Thread Num : 199, Sleep Duration (usec): 10, Execution Time: 245, Theoritical Time: 10
Thread Num : 218, Sleep Duration (usec): 10, Execution Time: 230, Theoritical Time: 10
Thread Num : 159, Sleep Duration (usec): 10, Execution Time: 230, Theoritical Time: 10
Thread Num : 79, Sleep Duration (usec): 10, Execution Time: 175, Theoritical Time: 10
Thread Num : 106, Sleep Duration (usec): 10, Execution Time: 297, Theoritical Time: 10
Thread Num : 224, Sleep Duration (usec): 10, Execution Time: 302, Theoritical Time: 10
Thread Num : 42, Sleep Duration (usec): 10, Execution Time: 331, Theoritical Time: 10
Thread Num : 212, Sleep Duration (usec): 10, Execution Time: 336, Theoritical Time: 10
Thread Num : 94, Sleep Duration (usec): 10, Execution Time: 335, Theoritical Time: 10
Thread Num : 194, Sleep Duration (usec): 10, Execution Time: 333, Theoritical Time: 10
Thread Num : 80, Sleep Duration (usec): 10, Execution Time: 137, Theoritical Time: 10
Thread Num : 69, Sleep Duration (usec): 10, Execution Time: 338, Theoritical Time: 10
Thread Num : 134, Sleep Duration (usec): 10, Execution Time: 344, Theoritical Time: 10
Thread Num : 202, Sleep Duration (usec): 10, Execution Time: 359, Theoritical Time: 10
Thread Num : 76, Sleep Duration (usec): 10, Execution Time: 318, Theoritical Time: 10
Thread Num : 160, Sleep Duration (usec): 10, Execution Time: 333, Theoritical Time: 10
Thread Num : 36, Sleep Duration (usec): 10, Execution Time: 387, Theoritical Time: 10
